III,3i
ADM,Admiral Group
AAL,Anglo American plc
ANTO,Antofagasta
AHT,Ashtead Group
ABF,Associated British Foods
AZN,AstraZeneca
AV.,Aviva
BA.,BAE Systems
BARC,Barclays
BDEV,Barratt Developments
BKG,Berkeley Group Holdings
BLT,BHP
BP.,BP
BATS,British American Tobacco
BLND,British Land
BT.A,BT Group
BNZL,Bunzl
BRBY,Burberry
CCL,Carnival Corporation & plc
CNA,Centrica
CCH,Coca-Cola HBC AG
CPG,Compass Group
CRH,CRH plc
CRDA,Croda International
DCC,DCC plc
DGE,Diageo
DLG,Direct Line Group
EZJ,easyJet
EVR,Evraz
EXPN,Experian
FERG,Ferguson plc
FRES,Fresnillo plc
GFS,G4S
GKN,GKN
GSK,GlaxoSmithKline
GLEN,Glencore
HLMA,Halma
HMSO,Hammerson
HL.,Hargreaves Lansdown
HSBA,HSBC
IMB,Imperial Brands
INF,Informa
IHG,InterContinental Hotels Group
IAG,International Airlines Group
ITRK,Intertek
ITV,ITV plc
JMAT,Johnson Matthey
JE,Just Eat
KGF,Kingfisher plc
LAND,Land Securities
LGEN,Legal & General
LLOY,Lloyds Banking Group
LSE,London Stock Exchange Group
MKS,Marks & Spencer
MDC,Mediclinic International
MCRO,Micro Focus
MNDI,Mondi
MRW,Morrisons
NG.,National Grid plc
NXT,Next plc
NMC,NMC Health
OML,Old Mutual
PPB,Paddy Power Betfair
PSON,Pearson PLC
PSN,Persimmon plc
PRU,Prudential plc
RRS,Randgold Resources
RB.,Reckitt Benckiser
REL,RELX Group
RTO,Rentokil Initial
RIO,Rio Tinto Group
RR.,Rolls-Royce Holdings
RBS,The Royal Bank of Scotland Group
RDSA,Royal Dutch Shell A
RDSB,Royal Dutch Shell B
RSA,RSA Insurance Group
SGE,Sage Group
SBRY,Sainsbury's
SDR,Schroders
SMT,Scottish Mortgage Investment Trust
SGRO,Segro
SVT,Severn Trent
SHP,Shire plc
SKY,Sky plc
SN.,Smith & Nephew
SMDS,"Smith, D.S."
SMIN,Smiths Group
SKG,Smurfit Kappa
SSE,SSE plc
STAN,Standard Chartered
SLA,Standard Life Aberdeen
STJ,St. James's Place plc
TW.,Taylor Wimpey
TSCO,Tesco
TUI,TUI Group
ULVR,Unilever
UU.,United Utilities
VOD,Vodafone Group
WTB,Whitbread
WPP,WPP plc
